id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1399889210870419460,Wed Jun 02 00:42:51 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@nung_306 @jokowi Anda sudah punya DNA Cebong...sulit jadi Kadrun....biar saya aja sama kawan-kawan oposisi lainnya,dna cebong sulit kadrun biar kawan kawan oposisi,in,2,1,NurmansyahAffa1,,,"nung_306, jokowi",,
1399882239853273089,Wed Jun 02 00:15:09 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@P_Eneste @AndifaizalAbd @myputun @Yusuf_Mansur Betul mbak, kadrun cuma bisa bikin narasi agar rakyat bego pengikut kadrun semakin benci @jokowi dan pemerintah. Nyatanya baru diskusi kaya gini ujung2nya pasti bilang ""buzzer rp cebong dungu dsb. Ciri orang maling ga ada hasil....kadrun begooo",mbak kadrun bikin narasi rakyat bego pengikut kadrun benci pemerintah diskusi kaya gini ujung nya bilang buzzer rp cebong dungu ciri maling ga hasil kadrun begooo,in,1,0,yo_gassOK,,,"P_Eneste, AndifaizalAbd, myputun, Yusuf_Mansur, jokowi",,
1399880698962452482,Wed Jun 02 00:09:01 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@EdiMahaMG @jokowi @aniesbaswedan Jika cebong yg menyimak tulisan ini,lgsg heboh. hahaaa",cebong menyimak tulisan heboh hahaaa,in,0,0,buangmursalim11,,,"EdiMahaMG, jokowi, aniesbaswedan","Toul, France",
1399876578578866178,Tue Jun 01 23:52:39 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@KompasTV karena itu negarun kadrun yg ente anti nah sekarang gara rezim cebong indonesia tdk diizinkan masuk saudi.,negarun kadrun ente anti gara rezim cebong indonesia tidak diizinkan masuk saudi,in,0,0,jabaltarik2,,,KompasTV,,
1399872672297742336,Tue Jun 01 23:37:08 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@dwiwarna9 @EdiMahaMG @pendekar58 @jokowi @aniesbaswedan Cebong susah paham,  ga nyampe mikirnya,  disindirpun juga ga bakalan ngerti malah cengar cengir",cebong susah paham ga nyampe mikirnya disindirpun ga mengerti cengar cengir,in,6,0,eddwiono,,,"dwiwarna9, EdiMahaMG, pendekar58, jokowi, aniesbaswedan",Relung hati sumber kejujuran ,
1399871528167088129,Tue Jun 01 23:32:35 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Toejoe48827068: @nung_306 @jokowi Positive 100% cebong... https://t.co/epV4mtAGzF,positive cebong,en,0,1,LinaIndrawati13,False,,"Toejoe48827068, nung_306, jokowi",,
1399871332670525446,Tue Jun 01 23:31:48 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@nung_306 @jokowi Bani bipang. 🤣.. buktinya ya taat pemerintah justru kadrun. Si cebong bipang malah mudik.,bani bipang buktinya taat pemerintah kadrun si cebong bipang mudik,in,1,0,PangeranBiru212,,,"nung_306, jokowi",DKI Jakarta,
1399864056555606017,Tue Jun 01 23:02:53 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@nung_306 @jokowi Positive 100% cebong... https://t.co/epV4mtAGzF,positive cebong,en,7,1,Toejoe48827068,False,,"nung_306, jokowi",,
1399862778395914243,Tue Jun 01 22:57:49 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@BStolenbergs @jokowi Anda layak jd komisaris  peternakan cebong....gkgkgk,layak komisaris peternakan cebong gkgkgk,in,0,0,fauzanindonisi,,,"BStolenbergs, jokowi",,"[[108.293626, -7.07253], [108.395672, -7.07253], [108.395672, -6.946967], [108.293626, -6.946967]]"
1399861841308835842,Tue Jun 01 22:54:05 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Orang yg mengkafir2kan orang lain orang lain disebut takfiri
.
.
.
Orang yg meRADIKAL2kan orang lain disebut cebong pekai ..
.
.
iya cebong pekai adalah gerombolan sampah yg meradikal2kan orang lain  sehingga bikin rusak persatuan bangsa Indonesia
.
.
.",mengkafir kan takfiri meradikal kan cebong pekai cebong pekai gerombolan sampah meradikal kan bikin rusak persatuan bangsa indonesia,in,0,1,EagleReaper01,,,,🟥⬛⬜🟩🇵🇸,
